1158607927673	0	B	Logging Begins
1158607927674	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	64	(1.000000, 1.000000, 1.000000, 1.000000)	"In the following experiment, your memory for associating names with faces will be tested.  The experiment will be divided into two halves, with each half testing you on a completely different set of names and faces.  After the first half, there will be a short break.\n\nThe procedure will be the same for each half.  Eight faces will be presented on the screen, consecutively, accompanied by their names.  A woman's voice will also speak the name when the face appears on the screen.  After five seconds, the face will disappear from the screen, a star (*) will flash on the screen for one second, and then the next face and name will appear.\n\nAfter you have seen all eight faces and names, you will be prompted to press any key in order to move on to a testing period.  During each trial of the testing period, you will see a face with a question mark (?) underneath it.  You will have to try and recall the name that goes with the face, and speak it out loud.  After five seconds the face will disappear from the screen, a star will flash on the screen for one second, and then the next face will appear with a question mark underneath it.\n\nFor each half, there will be ten study periods and ten test periods, alternating.  Each face will have the same name over the entire course of the half, so your task is to try and learn the faces' names as quickly and accurately as possible, and to be able to recall them as quickly and accurately as possible.\n\nDuring the test phase, do not worry if you make a mistake and recall the wrong name accidentally.  There is no penalty.  Also, if you are in the middle of recalling a name and the experiment moves on to the next face, do not stop yourself; continue speaking the name.  However, once the next face appears on the screen, you should give up trying to recall the last face and concentrate on the new one.\n\nDo you have any questions?\n\nPress <ENTER> to continue."
1158607927739	1	INSTRUCTIONSCROLL	0
1158607937825	1	INSTRUCTIONSCROLL	1
1158607937842	1	INSTRUCTIONSCROLL	5
1158607937859	1	INSTRUCTIONSCROLL	8
1158607937875	1	INSTRUCTIONSCROLL	11
1158607937892	1	INSTRUCTIONSCROLL	15
1158607937909	1	INSTRUCTIONSCROLL	18
1158607937925	1	INSTRUCTIONSCROLL	21
1158607938358	1	INSTRUCTIONSCROLL	22
1158607938375	1	INSTRUCTIONSCROLL	26
1158607938392	1	INSTRUCTIONSCROLL	29
1158607938408	1	INSTRUCTIONSCROLL	32
1158607938425	1	INSTRUCTIONSCROLL	36
1158607938584	1	INSTRUCTIONSCROLL	37
1158607938592	1	INSTRUCTIONSCROLL	38
1158607938608	1	INSTRUCTIONSCROLL	39
1158607938625	1	INSTRUCTIONSCROLL	42
1158607938798	1	INSTRUCTIONSCROLL	43
1158607938808	1	INSTRUCTIONSCROLL	44
1158607938825	1	INSTRUCTIONSCROLL	45
1158607938842	1	INSTRUCTIONSCROLL	49
1158607938858	1	INSTRUCTIONSCROLL	52
1158607938991	1	INSTRUCTIONSCROLL	53
1158607939009	1	INSTRUCTIONSCROLL	55
1158607939026	1	INSTRUCTIONSCROLL	59
1158607939043	1	INSTRUCTIONSCROLL	62
1158607939059	1	INSTRUCTIONSCROLL	65
1158607939076	1	INSTRUCTIONSCROLL	69
1158607939092	1	INSTRUCTIONSCROLL	72
1158607939242	1	INSTRUCTIONSCROLL	73
1158607939259	1	INSTRUCTIONSCROLL	75
1158607939275	1	INSTRUCTIONSCROLL	79
1158607939291	1	INSTRUCTIONSCROLL	82
1158607939441	1	INSTRUCTIONSCROLL	83
1158607939458	1	INSTRUCTIONSCROLL	85
1158607939475	1	INSTRUCTIONSCROLL	88
1158607939491	1	INSTRUCTIONSCROLL	92
1158607939508	1	INSTRUCTIONSCROLL	95
1158607939671	1	INSTRUCTIONSCROLL	96
1158607939691	1	INSTRUCTIONSCROLL	97
1158607939708	1	INSTRUCTIONSCROLL	100
1158607939725	1	INSTRUCTIONSCROLL	104
1158607939889	1	INSTRUCTIONSCROLL	105
1158607939894	1	INSTRUCTIONSCROLL	106
1158607939908	1	INSTRUCTIONSCROLL	107
1158607939924	1	INSTRUCTIONSCROLL	109
1158607939941	1	INSTRUCTIONSCROLL	112
1158607939958	1	INSTRUCTIONSCROLL	116
1158607939975	1	INSTRUCTIONSCROLL	119
1158607939991	1	INSTRUCTIONSCROLL	122
1158607940009	1	INSTRUCTIONSCROLL	126
1158607940025	1	INSTRUCTIONSCROLL	129
1158607940042	1	INSTRUCTIONSCROLL	133
1158607940059	1	INSTRUCTIONSCROLL	136
1158607940075	1	INSTRUCTIONSCROLL	139
1158607940092	1	INSTRUCTIONSCROLL	143
1158607940109	1	INSTRUCTIONSCROLL	146
1158607940125	1	INSTRUCTIONSCROLL	149
1158607940142	1	INSTRUCTIONSCROLL	153
1158607940159	1	INSTRUCTIONSCROLL	156
1158607940175	1	INSTRUCTIONSCROLL	159
1158607940192	1	INSTRUCTIONSCROLL	163
1158607940209	1	INSTRUCTIONSCROLL	166
1158607940226	1	INSTRUCTIONSCROLL	169
1158607940242	1	INSTRUCTIONSCROLL	173
1158607940259	1	INSTRUCTIONSCROLL	176
1158607940275	1	INSTRUCTIONSCROLL	179
1158607941087	1	INSTRUCTIONSCROLL	180
1158607941092	1	INSTRUCTIONSCROLL	181
1158607941108	1	INSTRUCTIONSCROLL	182
1158607941125	1	INSTRUCTIONSCROLL	185
1158607941142	1	INSTRUCTIONSCROLL	188
1158607941158	1	INSTRUCTIONSCROLL	191
1158607941175	1	INSTRUCTIONSCROLL	195
1158607941192	1	INSTRUCTIONSCROLL	198
1158607941208	1	INSTRUCTIONSCROLL	201
1158607941225	1	INSTRUCTIONSCROLL	205
1158607941242	1	INSTRUCTIONSCROLL	208
1158607941258	1	INSTRUCTIONSCROLL	211
1158607941274	1	INSTRUCTIONSCROLL	215
1158607941291	1	INSTRUCTIONSCROLL	218
1158607941307	1	INSTRUCTIONSCROLL	221
1158607941324	1	INSTRUCTIONSCROLL	224
1158607941341	1	INSTRUCTIONSCROLL	228
1158607941357	1	INSTRUCTIONSCROLL	231
1158607941374	1	INSTRUCTIONSCROLL	234
1158607941391	1	INSTRUCTIONSCROLL	238
1158607941407	1	INSTRUCTIONSCROLL	241
1158607941424	1	INSTRUCTIONSCROLL	244
1158607941441	1	INSTRUCTIONSCROLL	248
1158607941457	1	INSTRUCTIONSCROLL	251
1158607941474	1	INSTRUCTIONSCROLL	254
1158607941491	1	INSTRUCTIONSCROLL	258
1158607941507	1	INSTRUCTIONSCROLL	261
1158607942288	1	INSTRUCTIONSCROLL	262
1158607942293	1	INSTRUCTIONSCROLL	263
1158607942307	1	INSTRUCTIONSCROLL	264
1158607942324	1	INSTRUCTIONSCROLL	266
1158607942340	1	INSTRUCTIONSCROLL	269
1158607942357	1	INSTRUCTIONSCROLL	273
