1165528226705	0	B	Logging Begins
1165528226705	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	64	(0, 0, 0)	'In the following experiment, your memory for associating names with faces will be tested.  The task is challenging and requires concentration, so if at any time during the experiment you feel that you need a short break, let the experimenter know.\n\nSixteen faces will be presented on the screen, consecutively, accompanied by their names.  A woman\'s voice will also speak the name when the face appears on the screen.  After five seconds, the face will disappear from the screen, a star (*) will flash on the screen for one second, and then the next face and name will appear.\n\nAfter you have seen all sixteen faces and names, you will be prompted to press any key in order to move on to a testing period.  During each trial of the testing period, you will see a face with name underneath it.  You will have to decide whether or not the face is paired with the appropriate face.  \n\nYou will respond on the keyboard, with a confidence judgment between 1 and 6.  A judgment of 1 indicates that you are near certain that the name given is incorrectly paired with the face, a judgment of 2 indicates moderate confidence, and a judgment of 3 indicates that you think the name is incorrectly paired with the face, but are quite unsure.  A judgment of 6 indicates that you are near certain that the name given is correctly paired with the face, a judgment of 5 indicates moderate confidence, and a judgment of 4 indicates that you think the name is correctly paired with the face, but are quite unsure.\n\nYou should rest your fingers on the bottom row of the keyboard.  "Z", "X", and  "C" will correspond to confidence judgments of 1, 2, and 3, respectively.  ",", ".", and "/" will correspond to confidence judgments of 4, 5, and 6, respectively.\n\nAfter five seconds the name and face will disappear from the screen, a star will flash on the screen for one second, and then the next name and face pair will appear on the screen.  You will see sixteen name-face pairs per test period.  You should try to reply as quickly and accurately as you can.\n\nThere will be ten study periods and ten test periods, alternating.  Each face will have the same name over the entire course of the study, so your task is to try and learn the faces\' names as quickly and accurately as possible.\n\nDo you have any questions?\n\nPress <ENTER> to continue.\n'
1165528226777	1	INSTRUCTIONSCROLL	0
1165528241235	1	INSTRUCTIONSCROLL	1
1165528241251	1	INSTRUCTIONSCROLL	3
1165528241268	1	INSTRUCTIONSCROLL	6
1165528241285	1	INSTRUCTIONSCROLL	10
1165528241301	1	INSTRUCTIONSCROLL	13
1165528241318	1	INSTRUCTIONSCROLL	16
1165528241334	1	INSTRUCTIONSCROLL	20
1165528241351	1	INSTRUCTIONSCROLL	23
1165528241368	1	INSTRUCTIONSCROLL	26
1165528241384	1	INSTRUCTIONSCROLL	29
1165528241401	1	INSTRUCTIONSCROLL	33
1165528241418	1	INSTRUCTIONSCROLL	36
1165528241435	1	INSTRUCTIONSCROLL	40
1165528241451	1	INSTRUCTIONSCROLL	43
1165528241468	1	INSTRUCTIONSCROLL	46
1165528241484	1	INSTRUCTIONSCROLL	50
1165528241501	1	INSTRUCTIONSCROLL	53
1165528241518	1	INSTRUCTIONSCROLL	56
1165528241534	1	INSTRUCTIONSCROLL	60
1165528241551	1	INSTRUCTIONSCROLL	63
1165528241568	1	INSTRUCTIONSCROLL	66
1165528241584	1	INSTRUCTIONSCROLL	70
1165528241601	1	INSTRUCTIONSCROLL	73
1165528241618	1	INSTRUCTIONSCROLL	76
1165528241634	1	INSTRUCTIONSCROLL	80
1165528241651	1	INSTRUCTIONSCROLL	83
1165528241668	1	INSTRUCTIONSCROLL	86
1165528241684	1	INSTRUCTIONSCROLL	90
1165528241701	1	INSTRUCTIONSCROLL	93
1165528241718	1	INSTRUCTIONSCROLL	96
1165528241734	1	INSTRUCTIONSCROLL	100
1165528241751	1	INSTRUCTIONSCROLL	103
1165528241768	1	INSTRUCTIONSCROLL	106
1165528241784	1	INSTRUCTIONSCROLL	110
1165528242134	1	INSTRUCTIONSCROLL	111
1165528242151	1	INSTRUCTIONSCROLL	114
1165528242167	1	INSTRUCTIONSCROLL	117
1165528242184	1	INSTRUCTIONSCROLL	120
1165528242201	1	INSTRUCTIONSCROLL	124
1165528242217	1	INSTRUCTIONSCROLL	127
1165528242234	1	INSTRUCTIONSCROLL	130
1165528242251	1	INSTRUCTIONSCROLL	134
1165528242268	1	INSTRUCTIONSCROLL	137
1165528242284	1	INSTRUCTIONSCROLL	140
1165528242301	1	INSTRUCTIONSCROLL	144
1165528242317	1	INSTRUCTIONSCROLL	147
1165528242334	1	INSTRUCTIONSCROLL	150
1165528242351	1	INSTRUCTIONSCROLL	154
1165528242367	1	INSTRUCTIONSCROLL	157
1165528242384	1	INSTRUCTIONSCROLL	160
1165528242401	1	INSTRUCTIONSCROLL	164
1165528242418	1	INSTRUCTIONSCROLL	167
1165528242434	1	INSTRUCTIONSCROLL	170
1165528242451	1	INSTRUCTIONSCROLL	174
1165528242468	1	INSTRUCTIONSCROLL	177
1165528242484	1	INSTRUCTIONSCROLL	180
1165528242501	1	INSTRUCTIONSCROLL	184
1165528242517	1	INSTRUCTIONSCROLL	187
1165528242534	1	INSTRUCTIONSCROLL	190
1165528242551	1	INSTRUCTIONSCROLL	194
1165528242567	1	INSTRUCTIONSCROLL	197
1165528242584	1	INSTRUCTIONSCROLL	200
1165528242601	1	INSTRUCTIONSCROLL	204
1165528242617	1	INSTRUCTIONSCROLL	207
1165528242634	1	INSTRUCTIONSCROLL	210
1165528242651	1	INSTRUCTIONSCROLL	214
1165528242667	1	INSTRUCTIONSCROLL	217
1165528242684	1	INSTRUCTIONSCROLL	220
1165528242701	1	INSTRUCTIONSCROLL	224
1165528242717	1	INSTRUCTIONSCROLL	227
1165528242734	1	INSTRUCTIONSCROLL	230
1165528242751	1	INSTRUCTIONSCROLL	234
1165528242767	1	INSTRUCTIONSCROLL	237
1165528242784	1	INSTRUCTIONSCROLL	240
1165528242801	1	INSTRUCTIONSCROLL	244
1165528242817	1	INSTRUCTIONSCROLL	247
1165528242834	1	INSTRUCTIONSCROLL	250
1165528242851	1	INSTRUCTIONSCROLL	254
1165528242867	1	INSTRUCTIONSCROLL	257
1165528242884	1	INSTRUCTIONSCROLL	260
1165528242901	1	INSTRUCTIONSCROLL	264
1165528242917	1	INSTRUCTIONSCROLL	267
1165528242934	1	INSTRUCTIONSCROLL	270
1165528242951	1	INSTRUCTIONSCROLL	274
1165528242967	1	INSTRUCTIONSCROLL	277
1165528242983	1	INSTRUCTIONSCROLL	280
1165528243001	1	INSTRUCTIONSCROLL	283
1165528243017	1	INSTRUCTIONSCROLL	287
1165528243034	1	INSTRUCTIONSCROLL	290
1165528243051	1	INSTRUCTIONSCROLL	294
1165528243067	1	INSTRUCTIONSCROLL	297
1165528243084	1	INSTRUCTIONSCROLL	300
1165528243101	1	INSTRUCTIONSCROLL	303
1165528243117	1	INSTRUCTIONSCROLL	307
1165528250565	1	INSTRUCTIONSCROLL	308
1165528250581	1	INSTRUCTIONSCROLL	311
1165528250598	1	INSTRUCTIONSCROLL	314
1165528250615	1	INSTRUCTIONSCROLL	317
1165528250632	1	INSTRUCTIONSCROLL	321
1165528250648	1	INSTRUCTIONSCROLL	324
1165528250665	1	INSTRUCTIONSCROLL	327
1165528250681	1	INSTRUCTIONSCROLL	331
1165528250698	1	INSTRUCTIONSCROLL	334
1165528250715	1	INSTRUCTIONSCROLL	337
1165528250731	1	INSTRUCTIONSCROLL	341
1165528250748	1	INSTRUCTIONSCROLL	344
1165528250765	1	INSTRUCTIONSCROLL	347
1165528250781	1	INSTRUCTIONSCROLL	351
1165528250798	1	INSTRUCTIONSCROLL	354
1165528251981	1	INSTRUCTIONSCROLL	355
1165528251997	1	INSTRUCTIONSCROLL	356
1165528252014	1	INSTRUCTIONSCROLL	359
1165528252031	1	INSTRUCTIONSCROLL	363
1165528252048	1	INSTRUCTIONSCROLL	366
1165528252064	1	INSTRUCTIONSCROLL	370
1165528252081	1	INSTRUCTIONSCROLL	373
1165528252098	1	INSTRUCTIONSCROLL	376
1165528252114	1	INSTRUCTIONSCROLL	380
1165528252131	1	INSTRUCTIONSCROLL	383
1165528252148	1	INSTRUCTIONSCROLL	386
1165528252164	1	INSTRUCTIONSCROLL	390
1165528252181	1	INSTRUCTIONSCROLL	393
1165528252198	1	INSTRUCTIONSCROLL	396
1165528252214	1	INSTRUCTIONSCROLL	400
1165528252231	1	INSTRUCTIONSCROLL	403
1165528252248	1	INSTRUCTIONSCROLL	406
1165528252264	1	INSTRUCTIONSCROLL	410
1165528252281	1	INSTRUCTIONSCROLL	413
1165528252298	1	INSTRUCTIONSCROLL	416
1165528252314	1	INSTRUCTIONSCROLL	420
1165528252331	1	INSTRUCTIONSCROLL	423
1165528252348	1	INSTRUCTIONSCROLL	426
1165528252364	1	INSTRUCTIONSCROLL	430
1165528252381	1	INSTRUCTIONSCROLL	433
1165528252398	1	INSTRUCTIONSCROLL	436
1165528252414	1	INSTRUCTIONSCROLL	440
1165528252431	1	INSTRUCTIONSCROLL	443
1165528252448	1	INSTRUCTIONSCROLL	446
1165528252464	1	INSTRUCTIONSCROLL	450
1165528252481	1	INSTRUCTIONSCROLL	453
1165528252498	1	INSTRUCTIONSCROLL	456
1165528252514	1	INSTRUCTIONSCROLL	460
1165528252531	1	INSTRUCTIONSCROLL	463
1165528252548	1	INSTRUCTIONSCROLL	466
1165528252564	1	INSTRUCTIONSCROLL	470
1165528252581	1	INSTRUCTIONSCROLL	473
1165528252598	1	INSTRUCTIONSCROLL	476
1165528253347	1	INSTRUCTIONSCROLL	477
1165528253364	1	INSTRUCTIONSCROLL	478
1165528253381	1	INSTRUCTIONSCROLL	481
1165528253397	1	INSTRUCTIONSCROLL	485
1165528253414	1	INSTRUCTIONSCROLL	488
1165528253431	1	INSTRUCTIONSCROLL	491
1165528253447	1	INSTRUCTIONSCROLL	495
1165528253464	1	INSTRUCTIONSCROLL	498
1165528253481	1	INSTRUCTIONSCROLL	501
1165528253497	1	INSTRUCTIONSCROLL	505
1165528253514	1	INSTRUCTIONSCROLL	508
1165528253531	1	INSTRUCTIONSCROLL	511
1165528253547	1	INSTRUCTIONSCROLL	515
1165528253564	1	INSTRUCTIONSCROLL	518
1165528253581	1	INSTRUCTIONSCROLL	521
1165528253597	1	INSTRUCTIONSCROLL	525
1165528253614	1	INSTRUCTIONSCROLL	528
1165528253631	1	INSTRUCTIONSCROLL	531
1165528253647	1	INSTRUCTIONSCROLL	535
1165528253664	1	INSTRUCTIONSCROLL	538
1165528253680	1	INSTRUCTIONSCROLL	541
1165528253697	1	INSTRUCTIONSCROLL	545
1165528253714	1	INSTRUCTIONSCROLL	548
1165528268309	1	INSTRUCTIONSCROLL	549
1165528268326	1	INSTRUCTIONSCROLL	552
1165528268342	1	INSTRUCTIONSCROLL	555
1165528268359	1	INSTRUCTIONSCROLL	559
1165528268376	1	INSTRUCTIONSCROLL	562
1165528268392	1	INSTRUCTIONSCROLL	565
1165528268409	1	INSTRUCTIONSCROLL	569
1165528268426	1	INSTRUCTIONSCROLL	572
1165528268442	1	INSTRUCTIONSCROLL	575
