1165527473959	0	B	Logging Begins
1165527473959	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	51	(0, 0, 0)	'This study will analyze your memory for face items. A star (*) will be\nshown to warn you that the trial is about to begin.  After the study\nitem you see a probe, and you are asked to indicate whether the probe\nis identical to the study item. \n\nYou will respond on the keyboard, with a confidence judgment between 1\nand 6.  A judgment of 6 indicates that you are near certain that the\nprobe is identical to the study item, a judgment of 5 indicates moderate \nconfidence, and a judgment of 4 indicates that you think that the probe\nis identical, but are quite unsure.  A judgment of 1 indicates that you\nare near certain that the probe is NOT identical to the study item, a \njudgment of 2 indicates moderate confidence, and a judgment of 3 indicates\nthat you think that the probe is NOT identical, but are quite unsure.\n\nSo, judgments of 4, 5, and 6 all indicate "YES"; 1, 2, and 3 all indicate\n"NO".\n\nYou should rest your fingers on the bottom row of the keyboard.  "Z", "X", \nand "C" will correspond to confidence judgments of 1, 2, and 3, \nrespectively.  "," "." and "/" will correspond to judgments of 4, 5, and \n6, respectively.\n\nRESPOND AS QUICKLY AS YOU CAN WITHOUT COMPROMISING YOUR ACCURACY.\n\nYou will do two blocks, each consisting of 32 trials.\n\nLet\'s proceed!\n\n'
1165527474020	1	INSTRUCTIONSCROLL	0
1165527493104	1	INSTRUCTIONSCROLL	1
1165527493121	1	INSTRUCTIONSCROLL	5
1165527493137	1	INSTRUCTIONSCROLL	9
1165527493154	1	INSTRUCTIONSCROLL	12
1165527493171	1	INSTRUCTIONSCROLL	15
1165527493187	1	INSTRUCTIONSCROLL	19
1165527493204	1	INSTRUCTIONSCROLL	22
1165527493221	1	INSTRUCTIONSCROLL	25
1165527493237	1	INSTRUCTIONSCROLL	28
1165527493254	1	INSTRUCTIONSCROLL	32
1165527493271	1	INSTRUCTIONSCROLL	35
1165527493287	1	INSTRUCTIONSCROLL	39
1165527503733	1	INSTRUCTIONSCROLL	40
1165527503750	1	INSTRUCTIONSCROLL	41
1165527503766	1	INSTRUCTIONSCROLL	44
1165527503783	1	INSTRUCTIONSCROLL	48
1165527503800	1	INSTRUCTIONSCROLL	51
1165527503816	1	INSTRUCTIONSCROLL	54
1165527503833	1	INSTRUCTIONSCROLL	57
1165527503850	1	INSTRUCTIONSCROLL	61
1165527503866	1	INSTRUCTIONSCROLL	64
1165527503883	1	INSTRUCTIONSCROLL	68
1165527503899	1	INSTRUCTIONSCROLL	71
1165527503916	1	INSTRUCTIONSCROLL	74
1165527503933	1	INSTRUCTIONSCROLL	77
1165527503949	1	INSTRUCTIONSCROLL	81
1165527503966	1	INSTRUCTIONSCROLL	84
1165527503983	1	INSTRUCTIONSCROLL	87
1165527504001	1	INSTRUCTIONSCROLL	91
1165527504017	1	INSTRUCTIONSCROLL	94
1165527504034	1	INSTRUCTIONSCROLL	98
1165527504050	1	INSTRUCTIONSCROLL	101
1165527504067	1	INSTRUCTIONSCROLL	104
1165527504084	1	INSTRUCTIONSCROLL	108
1165527504100	1	INSTRUCTIONSCROLL	111
1165527504117	1	INSTRUCTIONSCROLL	114
1165527504134	1	INSTRUCTIONSCROLL	118
1165527504150	1	INSTRUCTIONSCROLL	121
1165527504167	1	INSTRUCTIONSCROLL	124
1165527504184	1	INSTRUCTIONSCROLL	128
1165527504201	1	INSTRUCTIONSCROLL	131
1165527504217	1	INSTRUCTIONSCROLL	135
1165527504234	1	INSTRUCTIONSCROLL	138
1165527504250	1	INSTRUCTIONSCROLL	141
1165527504267	1	INSTRUCTIONSCROLL	144
1165527504284	1	INSTRUCTIONSCROLL	148
1165527504300	1	INSTRUCTIONSCROLL	151
1165527504317	1	INSTRUCTIONSCROLL	154
1165527504866	1	INSTRUCTIONSCROLL	155
1165527504883	1	INSTRUCTIONSCROLL	158
1165527504899	1	INSTRUCTIONSCROLL	161
1165527504916	1	INSTRUCTIONSCROLL	164
1165527504933	1	INSTRUCTIONSCROLL	168
1165527504949	1	INSTRUCTIONSCROLL	171
1165527504966	1	INSTRUCTIONSCROLL	174
1165527504983	1	INSTRUCTIONSCROLL	178
1165527505000	1	INSTRUCTIONSCROLL	181
1165527505017	1	INSTRUCTIONSCROLL	184
1165527505034	1	INSTRUCTIONSCROLL	188
1165527505500	1	INSTRUCTIONSCROLL	189
1165527505517	1	INSTRUCTIONSCROLL	191
1165527505533	1	INSTRUCTIONSCROLL	195
1165527505550	1	INSTRUCTIONSCROLL	198
1165527505567	1	INSTRUCTIONSCROLL	201
1165527505583	1	INSTRUCTIONSCROLL	205
1165527505600	1	INSTRUCTIONSCROLL	208
1165527505617	1	INSTRUCTIONSCROLL	211
1165527512830	1	INSTRUCTIONSCROLL	212
1165527512847	1	INSTRUCTIONSCROLL	214
1165527512863	1	INSTRUCTIONSCROLL	217
1165527512880	1	INSTRUCTIONSCROLL	221
1165527512897	1	INSTRUCTIONSCROLL	224
1165527512913	1	INSTRUCTIONSCROLL	227
1165527512930	1	INSTRUCTIONSCROLL	230
1165527512947	1	INSTRUCTIONSCROLL	234
1165527512963	1	INSTRUCTIONSCROLL	237
1165527512980	1	INSTRUCTIONSCROLL	240
1165527512997	1	INSTRUCTIONSCROLL	244
1165527513014	1	INSTRUCTIONSCROLL	247
1165527513031	1	INSTRUCTIONSCROLL	251
1165527513048	1	INSTRUCTIONSCROLL	254
1165527513064	1	INSTRUCTIONSCROLL	257
1165527513081	1	INSTRUCTIONSCROLL	260
1165527513098	1	INSTRUCTIONSCROLL	264
1165527513114	1	INSTRUCTIONSCROLL	267
