1192210380579	0	B	Logging Begins
1192210380579	0	INSTRUCTIONSTART	JointRoller	/Library/Frameworks/Python.framework/Versions/2.4/lib/python2.4/site-packages/pyepl/resources/vera.ttf	51	(0, 0, 0)	"This study will analyze your memory for face items. A star (*) will be\nshown to warn you that the trial is about to begin.  After the study\nitem you see a probe, and you are asked to indicate whether the probe\nis identical to the study item. If you think the probe is identical,\npress the '/' key to indicate YES, otherwise press the '.' key to\nindicate NO.\n\nRESPOND AS QUICKLY AS YOU CAN WITHOUT COMPROMISING YOUR ACCURACY.\n\nPlease try not to move. You can move and blink between trials, when it\nis indicated on the screen. You will do two blocks, each consisting of\n32 trials.\n\nLet's proceed!\n\n"
1192210380623	1	INSTRUCTIONSCROLL	0
1192210466227	1	INSTRUCTIONSCROLL	2
1192210466240	1	INSTRUCTIONSCROLL	4
1192210466254	1	INSTRUCTIONSCROLL	7
1192210466267	1	INSTRUCTIONSCROLL	9
1192210466280	1	INSTRUCTIONSCROLL	12
1192210466294	1	INSTRUCTIONSCROLL	15
1192210466307	1	INSTRUCTIONSCROLL	17
1192210466320	1	INSTRUCTIONSCROLL	20
1192210466547	1	INSTRUCTIONSCROLL	21
1192210466560	1	INSTRUCTIONSCROLL	23
1192210466574	1	INSTRUCTIONSCROLL	26
1192210466587	1	INSTRUCTIONSCROLL	28
1192210466600	1	INSTRUCTIONSCROLL	31
1192210466613	1	INSTRUCTIONSCROLL	34
1192210466627	1	INSTRUCTIONSCROLL	36
1192210466640	1	INSTRUCTIONSCROLL	39
1192210466654	1	INSTRUCTIONSCROLL	42
1192210466667	1	INSTRUCTIONSCROLL	44
1192210466680	1	INSTRUCTIONSCROLL	47
1192210466707	1	INSTRUCTIONSCROLL	52
1192210466720	1	INSTRUCTIONSCROLL	55
1192210466734	1	INSTRUCTIONSCROLL	58
1192210466747	1	INSTRUCTIONSCROLL	60
1192210466760	1	INSTRUCTIONSCROLL	63
1192210466774	1	INSTRUCTIONSCROLL	66
1192210466787	1	INSTRUCTIONSCROLL	68
1192210466800	1	INSTRUCTIONSCROLL	71
1192210466813	1	INSTRUCTIONSCROLL	73
1192210466827	1	INSTRUCTIONSCROLL	76
1192210466840	1	INSTRUCTIONSCROLL	79
1192210466853	1	INSTRUCTIONSCROLL	81
1192210466867	1	INSTRUCTIONSCROLL	84
1192210466880	1	INSTRUCTIONSCROLL	87
1192210466893	1	INSTRUCTIONSCROLL	89
1192210466907	1	INSTRUCTIONSCROLL	92
1192210466920	1	INSTRUCTIONSCROLL	95
1192210466933	1	INSTRUCTIONSCROLL	97
1192210466947	1	INSTRUCTIONSCROLL	100
1192210466960	1	INSTRUCTIONSCROLL	103
1192210466973	1	INSTRUCTIONSCROLL	105
1192210466987	1	INSTRUCTIONSCROLL	108
1192210467001	1	INSTRUCTIONSCROLL	111
1192210467014	1	INSTRUCTIONSCROLL	114
1192210467028	1	INSTRUCTIONSCROLL	116
1192210467041	1	INSTRUCTIONSCROLL	119
1192210467054	1	INSTRUCTIONSCROLL	122
1192210467068	1	INSTRUCTIONSCROLL	124
1192210467081	1	INSTRUCTIONSCROLL	127
1192210467094	1	INSTRUCTIONSCROLL	129
1192210467108	1	INSTRUCTIONSCROLL	132
1192210467121	1	INSTRUCTIONSCROLL	135
1192210467134	1	INSTRUCTIONSCROLL	138
1192210467148	1	INSTRUCTIONSCROLL	140
1192210467161	1	INSTRUCTIONSCROLL	143
1192210467174	1	INSTRUCTIONSCROLL	146
1192210467188	1	INSTRUCTIONSCROLL	148
1192210467201	1	INSTRUCTIONSCROLL	151
1192210467214	1	INSTRUCTIONSCROLL	153
1192210467227	1	INSTRUCTIONSCROLL	156
1192210467240	1	INSTRUCTIONSCROLL	159
1192210467253	1	INSTRUCTIONSCROLL	161
1192210467267	1	INSTRUCTIONSCROLL	164
1192210467280	1	INSTRUCTIONSCROLL	167
1192210467293	1	INSTRUCTIONSCROLL	169
1192210467307	1	INSTRUCTIONSCROLL	172
1192210467320	1	INSTRUCTIONSCROLL	175
1192210467333	1	INSTRUCTIONSCROLL	177
1192210467347	1	INSTRUCTIONSCROLL	180
1192210467360	1	INSTRUCTIONSCROLL	183
1192210467373	1	INSTRUCTIONSCROLL	185
1192210467387	1	INSTRUCTIONSCROLL	188
1192210467400	1	INSTRUCTIONSCROLL	191
1192210467413	1	INSTRUCTIONSCROLL	193
1192210467427	1	INSTRUCTIONSCROLL	196
1192210467440	1	INSTRUCTIONSCROLL	199
1192210467453	1	INSTRUCTIONSCROLL	201
1192210467467	1	INSTRUCTIONSCROLL	204
1192210467480	1	INSTRUCTIONSCROLL	207
1192210467493	1	INSTRUCTIONSCROLL	209
1192210467507	1	INSTRUCTIONSCROLL	212
1192210467520	1	INSTRUCTIONSCROLL	215
1192210467547	1	INSTRUCTIONSCROLL	220
1192210467560	1	INSTRUCTIONSCROLL	223
1192210467573	1	INSTRUCTIONSCROLL	225
1192210467587	1	INSTRUCTIONSCROLL	228
1192210467600	1	INSTRUCTIONSCROLL	231
1192210467613	1	INSTRUCTIONSCROLL	233
1192210467627	1	INSTRUCTIONSCROLL	236
1192210467640	1	INSTRUCTIONSCROLL	239
1192210467653	1	INSTRUCTIONSCROLL	241
1192210467667	1	INSTRUCTIONSCROLL	244
1192210467680	1	INSTRUCTIONSCROLL	247
1192210493471	1	INSTRUCTIONSTOP	Button set (OR)
1192210493472	0	E	Logging Ends
