subject,condition,n,A_yes1yes2,B_yes1no2,C_no1yes2,D_no1no2,p_yes1,p_yes2,Q_reported_smoothed,Q_unsmoothed,resolution,n_alt_combinations,note
1,SameItem,5,2,3,0,0,1.0,0.4,-0.166667,,B: sum(n)=25 satisfied; rl solved separately,2,
1,DifferentItem,6,1,3,1,1,0.6666666666666666,0.3333333333333333,-0.4,-0.5,B: sum(n)=25 satisfied; rl solved separately,2,
1,IntactPair,1,1,0,0,0,1.0,1.0,0.5,,B: sum(n)=25 satisfied; rl solved separately,2,
1,ItemPair,8,1,4,0,3,0.625,0.125,0.4,1.0,B: sum(n)=25 satisfied; rl solved separately,2,
1,PairItem,5,4,1,0,0,1.0,0.8,0.5,,B: sum(n)=25 satisfied; rl solved separately,2,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
1,RepeatedLure,1,0,0,0,1,0.0,0.0,0.5,,B: sum(n)=25 satisfied; rl solved separately,2,
2,SameItem,3,0,2,0,1,0.6666666666666666,0.0,-0.25,,B: sum(n)=25 satisfied; rl solved separately,1,
2,DifferentItem,6,0,1,0,5,0.16666666666666666,0.0,0.571429,,B: sum(n)=25 satisfied; rl solved separately,1,
2,IntactPair,3,1,0,1,1,0.3333333333333333,0.6666666666666666,0.5,1.0,B: sum(n)=25 satisfied; rl solved separately,1,
2,ItemPair,8,3,2,1,2,0.625,0.5,0.4,0.5,B: sum(n)=25 satisfied; rl solved separately,1,
2,PairItem,5,3,1,0,1,0.8,0.6,0.75,1.0,B: sum(n)=25 satisfied; rl solved separately,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
2,RepeatedLure,2,0,0,0,2,0.0,0.0,0.666667,,B: sum(n)=25 satisfied; rl solved separately,1,
3,SameItem,5,3,0,0,2,0.6,0.6,0.944444,1.0,A: sum(n)=25 and rl identity satisfied,1,
3,DifferentItem,4,0,3,0,1,0.75,0.0,-0.4,,A: sum(n)=25 and rl identity satisfied,1,
3,IntactPair,2,1,0,0,1,0.5,0.5,0.8,1.0,A: sum(n)=25 and rl identity satisfied,1,
3,ItemPair,8,6,0,0,2,0.75,0.75,0.969697,1.0,A: sum(n)=25 and rl identity satisfied,1,
3,PairItem,6,3,0,2,1,0.5,0.8333333333333334,0.615385,1.0,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
3,RepeatedLure,2,0,0,0,2,0.0,0.0,0.666667,,A: sum(n)=25 and rl identity satisfied,1,
4,SameItem,5,3,0,1,1,0.6,0.8,0.75,1.0,A: sum(n)=25 and rl identity satisfied,1,
4,DifferentItem,6,4,2,0,0,1.0,0.6666666666666666,0.285714,,A: sum(n)=25 and rl identity satisfied,1,
4,IntactPair,3,3,0,0,0,1.0,1.0,0.75,,A: sum(n)=25 and rl identity satisfied,1,
4,ItemPair,6,5,0,1,0,0.8333333333333334,1.0,0.571429,,A: sum(n)=25 and rl identity satisfied,1,
4,PairItem,5,5,0,0,0,1.0,1.0,0.833333,,A: sum(n)=25 and rl identity satisfied,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
4,RepeatedLure,1,0,0,1,0,0.0,1.0,-0.5,,A: sum(n)=25 and rl identity satisfied,1,
5,SameItem,4,3,0,0,1,0.75,0.75,0.909091,1.0,B: sum(n)=25 satisfied; rl solved separately,1,
5,DifferentItem,6,5,0,1,0,0.8333333333333334,1.0,0.571429,,B: sum(n)=25 satisfied; rl solved separately,1,
5,IntactPair,3,3,0,0,0,1.0,1.0,0.75,,B: sum(n)=25 satisfied; rl solved separately,1,
5,ItemPair,7,6,0,1,0,0.8571428571428571,1.0,0.625,,B: sum(n)=25 satisfied; rl solved separately,1,
5,PairItem,5,4,0,1,0,0.8,1.0,0.5,,B: sum(n)=25 satisfied; rl solved separately,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
5,RepeatedLure,1,0,0,0,1,0.0,0.0,0.5,,B: sum(n)=25 satisfied; rl solved separately,1,
6,SameItem,5,5,0,0,0,1.0,1.0,0.833333,,B: sum(n)=25 satisfied; rl solved separately,1,
6,DifferentItem,5,4,0,1,0,0.8,1.0,0.5,,B: sum(n)=25 satisfied; rl solved separately,1,
6,IntactPair,3,3,0,0,0,1.0,1.0,0.75,,B: sum(n)=25 satisfied; rl solved separately,1,
6,ItemPair,6,6,0,0,0,1.0,1.0,0.857143,,B: sum(n)=25 satisfied; rl solved separately,1,
6,PairItem,6,6,0,0,0,1.0,1.0,0.857143,,B: sum(n)=25 satisfied; rl solved separately,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
6,RepeatedLure,3,0,0,0,3,0.0,0.0,0.75,,B: sum(n)=25 satisfied; rl solved separately,1,
7,SameItem,5,5,0,0,0,1.0,1.0,0.833333,,B: sum(n)=25 satisfied; rl solved separately,1,
7,DifferentItem,3,3,0,0,0,1.0,1.0,0.75,,B: sum(n)=25 satisfied; rl solved separately,1,
7,IntactPair,3,3,0,0,0,1.0,1.0,0.75,,B: sum(n)=25 satisfied; rl solved separately,1,
7,ItemPair,8,6,0,2,0,0.75,1.0,0.444444,,B: sum(n)=25 satisfied; rl solved separately,1,
7,PairItem,6,6,0,0,0,1.0,1.0,0.857143,,B: sum(n)=25 satisfied; rl solved separately,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
7,RepeatedLure,0,0,0,0,0,,,0.0,,B: sum(n)=25 satisfied; rl solved separately,1,n=0: no items in this condition this cycle
8,SameItem,5,4,0,0,1,0.8,0.8,0.928571,1.0,B: sum(n)=25 satisfied; rl solved separately,1,
8,DifferentItem,6,2,1,1,2,0.5,0.5,0.470588,0.6,B: sum(n)=25 satisfied; rl solved separately,1,
8,IntactPair,3,3,0,0,0,1.0,1.0,0.75,,B: sum(n)=25 satisfied; rl solved separately,1,
8,ItemPair,5,4,1,0,0,1.0,0.8,0.5,,B: sum(n)=25 satisfied; rl solved separately,1,
8,PairItem,6,3,0,3,0,0.5,1.0,0.0,,B: sum(n)=25 satisfied; rl solved separately,1,p_yes1 recovered from Q and p_yes2 (stored p1_pi unreliable)
