subject,condition,n,A_yes1yes2,B_yes1no2,C_no1yes2,D_no1no2,p_yes1,p_yes2,Q_reported_smoothed,Q_unsmoothed,T2_plus_T3,resolution,n_alt_combinations,note
1,SameItem,10,5,4,1,0,0.9,0.6,-0.421053,-1.0,n=10 A=5 B=4 C=1 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
1,DifferentItem,11,2,6,2,1,0.7272727272727273,0.36363636363636365,-0.625,-0.7142857142857143,n=11 A=2 B=6 C=2 D=1,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
1,IntactPair,3,3,0,0,0,1.0,1.0,0.75,,n=3 A=3 B=0 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
1,ItemPair,15,6,5,0,4,0.7333333333333333,0.4,0.828125,1.0,n=15 A=6 B=5 C=0 D=4,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
1,PairItem,11,8,2,0,1,0.9090909090909091,0.7272727272727273,0.821429,1.0,n=11 A=8 B=2 C=0 D=1,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
1,RepeatedLure,5,0,0,2,3,0.0,0.4,0.166667,,n=3 A=0 B=0 C=0 D=3,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 3 vs 5
2,SameItem,9,3,2,1,3,0.5555555555555556,0.4444444444444444,0.53125,0.6363636363636364,n=9 A=3 B=2 C=1 D=3,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
2,DifferentItem,11,3,3,0,5,0.5454545454545454,0.2727272727272727,0.833333,1.0,n=11 A=3 B=3 C=0 D=5,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
2,IntactPair,6,3,1,1,1,0.6666666666666666,0.6666666666666666,0.4,0.5,n=6 A=3 B=1 C=1 D=1,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
2,ItemPair,14,6,4,1,3,0.7142857142857143,0.5,0.542373,0.6363636363636364,n=14 A=6 B=4 C=1 D=3,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
2,PairItem,10,5,3,1,1,0.8,0.6,0.222222,0.25,n=10 A=5 B=3 C=1 D=1,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
2,RepeatedLure,3,0,0,0,3,0.0,0.0,0.75,,n=2 A=0 B=0 C=0 D=2,A: sum(n)=50 and rl identity satisfied,1,differs from TRIAL2+TRIAL3: n 2 vs 3
3,SameItem,9,6,0,0,3,0.6666666666666666,0.6666666666666666,0.978261,1.0,n=9 A=6 B=0 C=0 D=3,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
3,DifferentItem,9,2,4,0,3,0.6666666666666666,0.2222222222222222,0.590909,1.0,n=9 A=2 B=4 C=0 D=3,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
3,IntactPair,5,3,0,0,2,0.6,0.6,0.944444,1.0,n=5 A=3 B=0 C=0 D=2,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
3,ItemPair,16,13,0,0,3,0.8125,0.8125,0.989474,1.0,n=16 A=13 B=0 C=0 D=3,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
3,PairItem,11,7,0,2,2,0.6363636363636364,0.8181818181818182,0.875,1.0,n=11 A=7 B=0 C=2 D=2,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly; rr7 p1_pi is self-consistent and used as given; the TRIAL files p1_pi is corrupt
3,RepeatedLure,4,0,0,0,4,0.0,0.0,0.8,,n=4 A=0 B=0 C=0 D=4,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
4,SameItem,9,7,0,1,1,0.7777777777777778,0.8888888888888888,0.875,1.0,n=9 A=7 B=0 C=1 D=1,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
4,DifferentItem,11,8,3,0,0,1.0,0.7272727272727273,0.416667,,n=11 A=8 B=3 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
4,IntactPair,6,6,0,0,0,1.0,1.0,0.857143,,n=6 A=6 B=0 C=0 D=0,A: sum(n)=50 and rl identity satisfied,1,matches TRIAL2+TRIAL3 exactly
